Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
1000.0,2,2.0,Semi-Furnished,"Saptrishi Apartment, Rohini Sector 23",1.0,7600000,Ready_to_move,Resale,Apartment
1360.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,13500000,Ready_to_move,New_Property,Builder_Floor
1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,12500000,Ready_to_move,New_Property,Builder_Floor
850.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,6500000,Ready_to_move,New_Property,Builder_Floor
2170.0,4,4.0,Unfurnished,Rohini Sector 23,2.0,22000000,Ready_to_move,New_Property,Builder_Floor
720.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,6000000,Ready_to_move,New_Property,Builder_Floor
850.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,7300000,Ready_to_move,New_Property,Builder_Floor
950.0,3,2.0,Semi-Furnished,Rohini Sector 23,1.0,7600000,Ready_to_move,New_Property,Builder_Floor
2300.0,4,4.0,Semi-Furnished,Rohini Sector 23,1.0,20000000,Ready_to_move,New_Property,Builder_Floor
1030.0,3,2.0,Furnished,Rohini Sector 20,1.0,6200000,Ready_to_move,New_Property,Builder_Floor
350.0,1,1.0,Semi-Furnished,"Rohini ( 1 km from Shahbad Dairy, Rohini)",1.0,2300000,Ready_to_move,New_Property,Builder_Floor
720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Ready_to_move,New_Property,Apartment
800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2000000,Ready_to_move,New_Property,Apartment
980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,7300000,Ready_to_move,New_Property,Apartment
1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13000000,Ready_to_move,New_Property,Apartment
1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,11500000,Ready_to_move,New_Property,Apartment
445.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2800000,Ready_to_move,New_Property,Apartment
380.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2200000,Ready_to_move,New_Property,Apartment
680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4400000,Ready_to_move,New_Property,Apartment
1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13500000,Ready_to_move,New_Property,Apartment
630.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4100000,Ready_to_move,New_Property,Apartment
1500.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,12000000,Ready_to_move,New_Property,Apartment
550.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,3500000,Ready_to_move,New_Property,Apartment
2500.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,15000000,Ready_to_move,New_Property,Apartment
2800.0,5,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,17500000,Ready_to_move,New_Property,Apartment
300.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,1900000,Ready_to_move,New_Property,Apartment
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Apartment
1295.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,10000000,Ready_to_move,New_Property,Apartment
700.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Ready_to_move,New_Property,Apartment
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2400000,Ready_to_move,New_Property,Builder_Floor
450.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,3800000,Ready_to_move,New_Property,Builder_Floor
2200.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,23000000,Ready_to_move,New_Property,Builder_Floor
